,Unnamed: 0,province_zipCode,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
13785,13785,430000,431300,1007,0,502,4,76,0,35,0
33712,33712,210000,211200,103,0,7,0,3,0,0,0
33040,33040,440000,440500,1095,0,113,1,25,0,3,0
4488,4488,230000,230200,480,0,222,12,43,0,23,1
31640,31640,110000,110113,315,0,37,2,9,0,0,0
38025,38025,410000,411200,851,0,56,2,7,0,2,0
2127,2127,500000,500153,576,0,372,6,9,0,6,0
16177,16177,500000,500236,551,0,207,5,20,0,6,0
20005,20005,440000,441400,1261,0,343,2,14,0,7,0
10724,10724,510000,511900,514,0,188,3,24,0,3,0
32839,32839,500000,500236,428,0,39,2,14,0,1,0
6236,6236,510000,510800,526,0,250,3,6,0,5,0
8139,8139,420000,420600,62662,0,11792,2144,1170,0,343,24
45919,45919,430000,430100,463,0,9,0,112,0,2,0
48243,48243,510000,513300,207,0,3,1,5,0,0,0
48253,48253,530000,530500,91,0,1,0,7,0,0,0
1005,1005,420000,420500,65187,0,20969,2615,927,0,362,30
36259,36259,410000,410500,914,0,70,3,40,0,1,0
6772,6772,410000,419001,1270,0,809,19,5,0,3,0
54115,54115,120000,120111,17,0,0,0,1,0,0,0
22178,22178,430000,431100,968,0,332,2,43,0,18,0
57521,57521,440000,441200,32,0,2,0,1,0,0,0
3315,3315,320000,320400,631,0,458,0,51,0,41,0
45030,45030,460000,469023,70,0,4,1,2,0,0,1
52669,52669,130000,130700,48,0,0,1,1,0,0,0
15665,15665,530000,0,171,0,45,0,13,0,6,0
2636,2636,330000,330200,1205,0,795,1,157,0,121,0
13341,13341,500000,0,553,0,235,5,1,0,0,0
45326,45326,120000,120102,48,0,1,0,9,0,0,0
41195,41195,120000,120116,69,0,2,1,2,0,0,0
33382,33382,350000,350500,239,0,24,0,40,0,4,0
18807,18807,440000,440400,1294,0,393,2,95,0,34,0
26254,26254,520000,520200,127,0,10,1,10,0,0,1
5169,5169,430000,430100,1016,0,714,4,242,0,141,2
4761,4761,370000,370300,754,0,319,4,30,0,14,0
35156,35156,420000,422800,22112,0,856,618,157,0,12,0
1422,1422,410000,411500,1271,0,1032,19,274,0,219,2
26894,26894,130000,130800,239,0,42,2,7,0,1,0
46535,46535,150000,150800,23,0,1,0,3,0,0,0
27771,27771,450000,451300,210,0,24,1,11,0,0,0
43552,43552,410000,410900,675,2,20,2,4,0,0,0
35096,35096,410000,411600,914,0,80,3,60,0,8,0
37566,37566,460000,0,106,0,8,2,2,0,0,0
7604,7604,230000,230800,479,0,183,12,15,0,15,0
41769,41769,320000,321200,308,0,12,0,23,0,0,0
14020,14020,440000,440500,1328,0,530,4,25,0,14,0
28641,28641,340000,340700,830,0,86,3,25,0,7,0
17125,17125,340000,341500,962,0,249,6,65,0,15,0
47052,47052,310000,310116,177,0,10,1,1,0,0,0
2057,2057,450000,451000,252,0,138,2,3,0,3,0
20057,20057,420000,420600,51986,0,3893,1318,1111,0,73,16
40877,40877,440000,441500,895,0,37,0,5,0,0,0
12784,12784,620000,621000,91,0,59,2,3,0,2,0
17800,17800,430000,430800,1001,0,423,2,5,0,4,0
37488,37488,450000,450500,172,0,17,0,31,0,2,0
56020,56020,210000,210500,15,0,0,0,1,0,0,0
42446,42446,440000,441600,813,0,30,0,1,0,0,0
2823,2823,420000,420800,64786,0,18888,2563,920,0,432,37
6499,6499,460000,469005,168,0,104,4,3,0,3,0
34938,34938,320000,320600,408,0,43,0,29,0,2,0
11679,11679,420000,420300,61682,0,9167,1921,638,0,164,2
